Business Name,Industry,Location,Asking Price,Revenue,EBITDA,Years in Operation,Broker or Seller Contact,Listing URL,Source
SG 11351 Ohio Cincinnati Northeast Beverage Drive Thru,Not Specified,Not Specified,1100000,660000,0,Not Disclosed,Not Available,https://www.bizbuysell.com/business-opportunity/sg-11351-ohio-cincinnati-northeast-beverage-drive-thru/2458033/,BizBuySell
Flowers Bread Route (6199),Not Specified,Not Specified,4987206,0,0,Not Disclosed,Not Available,https://www.bizbuysell.com/business-opportunity/flowers-bread-route-6199/2458014/,BizBuySell
BizQuest Business Listing,Not Specified,Not Specified,0,0,0,Not Disclosed,Not Available,https://www.bizquest.com/business-for-sale/3-product-amazon-brand-huge-growth-opportunity/BW2440268/,BizQuest
BizQuest Business Listing,Not Specified,Not Specified,7000000,4600000,0,Not Disclosed,Not Available,https://www.bizquest.com/business-for-sale/fully-equipped-20-year-furniture-business/BW2440195/,BizQuest
