Business Name,Industry,Location,Asking Price,Revenue,EBITDA,Years in Operation,Broker or Seller Contact,Listing URL,Source
Fully equipped with great foot traffic in Fish & Chip,Not Specified,Not Specified,550000,0,0,Not Disclosed,Not Available,https://www.bizbuysell.com/business-opportunity/fully-equipped-with-great-foot-traffic-in-fish-and-chip/2460843/,BizBuySell
BizQuest Business Listing,Not Specified,Not Specified,50000,0,0,Not Disclosed,Not Available,https://www.bizquest.com/business-for-sale/successful-amazon-listing-high-profit/BW2442074/,BizQuest
"Medical Office Dev Site | NE Philadelphia 8000 Old York Rd
0.4 Acres of Commercial Land Online Auction Sale Elkins Park, PA 19027",Real Estate,Not Specified,0,0,0,Not Disclosed,Not Available,https://www.loopnet.com/Listing/8000-Old-York-Rd-Elkins-Park-PA/31405328/,LoopNet
